id,q1_safe_place,q2_stress,q3_understood,q4_free_day,q5_one_word,q6_decision_style,q7_social_energy,q8_region,nickname
p_001,"My grandmother's kitchen. The smell of cinnamon and cardamom, the worn wooden table where I did homework as a child. There's a window that overlooks her small garden, and even now when I close my eyes I can hear the birds and feel the afternoon sun warming my face. It's the only place where time seems to stop.","Last week I had three deadlines converge at once. I felt my chest tighten and my thoughts scatter. I coped by making lists, breaking everything into tiny steps, and allowing myself one 15-minute panic session before getting to work. Sometimes acknowledging the fear helps it pass.","My partner once noticed I was struggling before I said anything. They simply made tea, sat beside me, and said 'I'm here when you're ready.' No fixing, no questions. Just presence. That quiet recognition meant everything.","I'd wake without an alarm. Make coffee slowly. Read for hours in my favorite chair. Maybe walk to the bookshop, buy something I don't need, have lunch alone at a cafe where no one knows me. Return home, cook something simple, watch the light change.","Curious - because I can never leave a question unexamined. Every conversation leads me down rabbit holes, and I find myself researching obscure topics at midnight.","Mostly rational","Drained","Europe","quietwindow"
p_002,"The beach at dawn, before anyone else arrives. Cold sand, grey light, the sound of waves erasing everything. I run until my lungs burn and my mind empties. That moment of physical exhaustion is the closest I get to peace.","A conflict with a close friend. I replayed every word obsessively, wrote unsent messages, couldn't sleep. Eventually I forced myself to call them directly. The conversation was hard but the uncertainty was worse.","After a presentation I was sure had failed, a colleague pulled me aside and said 'You don't see yourself the way others do.' It cracked something open.","Ocean swim at sunrise. Long breakfast with good coffee. Afternoon hike somewhere green. Evening cooking an elaborate meal for friends, music playing, wine flowing, conversation until late.","Restless - I'm always chasing the next thing, never quite satisfied with where I am.","Mostly emotional","Energised","North America","wavechaser"
p_003,"My studio apartment when it's raining. Headphones on, working on something creative, completely absorbed. The rain creates a barrier between me and the world's demands. I need that barrier to feel safe.","Burnout crept up slowly. I kept pushing through exhaustion until my body forced me to stop. Now I'm learning to recognize the warning signs: irritability, loss of interest, that hollow feeling. I cope by protecting my mornings for rest.","A friend remembered a small detail I'd mentioned months earlier and brought me exactly the right book. The gift was nice but the memory was the real kindness.","Absolutely nothing scheduled. Maybe I'd make art. Maybe I'd stare at the ceiling. The freedom from obligation is the point, not the activity.","Intense - I feel everything deeply, sometimes too deeply.","Mostly emotional","Drained","Europe",""
p_004,"My childhood treehouse, which no longer exists. I return there in dreams sometimes. The rough wood, the view through leaves, the feeling of being hidden and watching the world below. Safety is always retrospective for me.","Public speaking. My voice shakes, my face flushes. I've learned to embrace the fear as energy. I tell myself 'this matters to you, that's why you're scared' and somehow that reframe helps me continue.","My therapist once said 'You're allowed to take up space.' Such a simple sentence but it landed like revelation. I'd spent years apologizing for existing.","Museums first thing in the morning when they're empty. Then a long lunch reading in a park. Afternoon nap. Evening at a concert or play, then walking home through quiet streets.","Contemplative - I process the world by thinking about it constantly.","Mostly rational","Drained","Europe","treewatcher"
p_005,"My car. Sounds strange but it's my private space. I can sing badly, cry without explanation, sit in parking lots processing my day before facing home. It's a transition zone between selves.","Financial stress. Numbers swimming, worst-case scenarios spiraling. I coped by making spreadsheets, facing the reality directly rather than avoiding it. Knowledge reduced the fear, even when the situation didn't change.","When my team defended my idea in a meeting I wasn't present for. Hearing about it afterward, knowing they'd advocated for my work, made me feel genuinely valued.","Road trip with no destination. Stop whenever something looks interesting. Eat at diners. Listen to podcasts. The movement itself is the purpose.","Adaptive - I become what each situation requires, sometimes losing track of who I actually am.","Depends","Depends","North America",""
p_006,"The library at my university. High ceilings, old wood, the particular silence of concentrated thought. Even now, decades later, libraries feel like sanctuaries. Knowledge feels like protection.","A health scare that turned out to be nothing. Those weeks of waiting taught me how much I take my body for granted. I coped through research, information as armor against uncertainty.","A professor once wrote on my paper: 'You think in ways that surprise me.' After years of feeling like my mind worked wrong, someone saw it as a gift.","Deep dive into a new subject. Buy books, watch lectures, take notes, let myself become obsessed. Learning is my version of play.","Analytical - I take things apart to understand them, including myself.","Mostly rational","Drained","East Asia","libraryowl"
p_007,"Dancing in a crowd where no one knows me. The music loud enough to feel in my chest, bodies moving together, complete anonymity. I disappear and that's the safety - no self to protect.","Rejection from something I'd worked toward for years. I let myself grieve dramatically - ugly crying, canceled plans, wallowing. Then set a deadline to start trying again.","After bombing a performance, a stranger came up and said 'I saw you take a risk up there. That was brave.' They didn't pretend it went well. They honored the attempt.","Festival or live music. Dance all day. Meet strangers. Feel the collective energy. Come home exhausted in the best way.","Alive - I'm happiest when I'm fully experiencing the moment.","Mostly emotional","Energised","South America","nightdancer"
p_008,"My workshop, surrounded by tools and half-finished projects. The smell of sawdust, the feel of working with my hands. My mind quiets when my body is engaged. Screens exhaust me; materials ground me.","Physical injury that limited what I could do. The loss of capability was harder than the pain. I coped by finding new ways to work, accepting help reluctantly, learning patience.","My father, a man of few words, once spent an entire weekend helping me fix something I'd broken. No lectures, no frustration. Just quiet competence and presence.","Build something from scratch. Spend hours solving physical problems, fitting pieces together, making something real from raw materials.","Practical - I trust what I can touch and verify.","Mostly rational","Depends","North America","woodworker"
p_009,"Hot bath, door locked, phone in another room. The water has to be almost too hot. I disappear into the heat and let my thoughts drift. It's the only time I'm truly unreachable.","Betrayal by someone I trusted completely. The ground disappeared. I coped through writing - pages and pages trying to understand. The writing didn't explain it but it contained it.","A friend once said 'You're the person I call when things fall apart.' Realizing I was someone's anchor, when I felt so adrift myself, was profoundly grounding.","Spa day alone. Massage, sauna, pool. Then home to order food and watch comfort shows. Total indulgence without guilt.","Resilient - I've survived things I didn't think I could. That knowledge lives in me now.","Mostly emotional","Drained","Europe",""
p_010,"Temple in Kyoto I visited once. Stone paths, raked gravel, intentional silence. I've never felt peace like that before or since. I'm chasing that feeling still.","Moving to a new country. Everything unfamiliar, language barrier, profound loneliness. I coped by establishing small routines - same coffee shop, same park bench, building familiarity deliberately.","A host family in Japan apologized that their English wasn't good, then proceeded to show me extraordinary kindness through food, gestures, patience. Language is the smallest part of understanding.","Wander a city I don't know. Get lost deliberately. Notice architecture, people, the rhythm of a place. Find a quiet spot and write about what I see.","Seeking - I'm looking for something I can't name.","Depends","Depends","East Asia","templeseeker"
